round_number,league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
4,Premier League,Southampton vs Stoke City,9/9/2017,Southampton,Stoke City,1,1
4,Premier League,West Bromwich Albion vs Tottenham Hotspur,9/9/2017,West Bromwich Albion,Tottenham Hotspur,0,4
5,Premier League,Bournemouth vs Brighton & Hove Albion,9/16/2017,Bournemouth,Brighton & Hove Albion,2,1
5,Premier League,Arsenal vs West Bromwich Albion,9/16/2017,Arsenal,West Bromwich Albion,3,0
5,Premier League,Chelsea vs Manchester City,9/16/2017,Chelsea,Manchester City,0,1
5,Premier League,Crystal Palace vs Huddersfield Town,9/16/2017,Crystal Palace,Huddersfield Town,0,1
5,Premier League,Everton vs Swansea City,9/16/2017,Everton,Swansea City,0,1
5,Premier League,Leicester City vs Manchester United,9/16/2017,Leicester City,Manchester United,2,2
5,Premier League,Stoke City vs Watford,9/16/2017,Stoke City,Watford,1,1
5,Premier League,Southampton vs Newcastle United,9/16/2017,Southampton,Newcastle United,2,2
5,Premier League,Tottenham Hotspur vs Liverpool,9/16/2017,Tottenham Hotspur,Liverpool,1,1
5,Premier League,West Bromwich Albion vs Burnley,9/16/2017,West Bromwich Albion,Burnley,1,0
6,Premier League,Arsenal vs Brighton & Hove Albion,9/23/2017,Arsenal,Brighton & Hove Albion,2,0
6,Premier League,Burnley vs Huddersfield Town,9/23/2017,Burnley,Huddersfield Town,0,0
6,Premier League,Manchester United vs Everton,9/23/2017,Manchester United,Everton,4,0
6,Premier League,Stoke City vs Chelsea,9/23/2017,Stoke City,Chelsea,0,4
6,Premier League,Watford vs Manchester City,9/23/2017,Watford,Manchester City,0,6
6,Premier League,West Bromwich Albion vs Arsenal,9/23/2017,West Bromwich Albion,Arsenal,2,2
6,Premier League,Crystal Palace vs Southampton,9/23/2017,Crystal Palace,Southampton,0,1
6,Premier League,Leicester City vs Liverpool,9/23/2017,Leicester City,Liverpool,2,3
6,Premier League,Newcastle United vs Stoke City,9/23/2017,Newcastle United,Stoke City,2,1
6,Premier League,Tottenham Hotspur vs Swansea City,9/23/2017,Tottenham Hotspur,Swansea City,1,0
7,Premier League,Southampton vs Manchester United,9/30/2017,Southampton,Manchester United,0,1
7,Premier League,Stoke City vs Manchester City,9/30/2017,Stoke City,Manchester City,1,4
7,Premier League,West Bromwich Albion vs Burnley,9/30/2017,West Bromwich Albion,Burnley,0,1
7,Premier League,Watford vs Arsenal,9/30/2017,Watford,Arsenal,2,1
7,Premier League,Leicester City vs Bournemouth,9/30/2017,Leicester City,Bournemouth,0,1
7,Premier League,Swansea City vs Huddersfield Town,9/30/2017,Swansea City,Huddersfield Town,0,0
7,Premier League,Tottenham Hotspur vs Bournemouth,9/30/2017,Tottenham Hotspur,Bournemouth,2,0
7,Premier League,Crystal Palace vs Leicester City,9/30/2017,Crystal Palace,Leicester City,0,2
7,Premier League,Liverpool vs Newcastle United,9/30/2017,Liverpool,Newcastle United,1,1
7,Premier League,Chelsea vs Stoke City,9/30/2017,Chelsea,Stoke City,4,0
8,Premier League,Bournemouth vs Brighton & Hove Albion,10/14/2017,Bournemouth,Brighton & Hove Albion,2,1
8,Premier League,Crystal Palace vs Chelsea,10/14/2017,Crystal Palace,Chelsea,2,1
8,Premier League,Leicester City vs Everton,10/14/2017,Leicester City,Everton,2,0
8,Premier League,Manchester City vs Stoke City,10/14/2017,Manchester City,Stoke City,7,2
8,Premier League,Southampton vs Newcastle United,10/14/2017,Southampton,Newcastle United,2,2
8,Premier League,Tottenham Hotspur vs Huddersfield Town,10/14/2017,Tottenham Hotspur,Huddersfield Town,4,0
8,Premier League,Watford vs Swansea City,10/14/2017,Watford,Swansea City,2,1
8,Premier League,West Bromwich Albion vs Watford,10/14/2017,West Bromwich Albion,Watford,2,2
8,Premier League,Arsenal vs West Ham United,10/14/2017,Arsenal,West Ham United,3,0
8,Premier League,Liverpool vs Manchester United,10/14/2017,Liverpool,Manchester United,0,0
9,Premier League,Bournemouth vs Chelsea,10/21/2017,Bournemouth,Chelsea,0,1
9,Premier League,Brighton & Hove Albion vs Newcastle United,10/21/2017,Brighton & Hove Albion,Newcastle United,1,0
9,Premier League,Crystal Palace vs Manchester United,10/21/2017,Crystal Palace,Manchester United,2,2
9,Premier League,Everton vs Watford,10/21/2017,Everton,Watford,3,2
9,Premier League,Leicester City vs West Bromwich Albion,10/21/2017,Leicester City,West Bromwich Albion,1,1
9,Premier League,Southampton vs Manchester City,10/21/2017,Southampton,Manchester City,0,2
9,Premier League,Stoke City vs Huddersfield Town,10/21/2017,Stoke City,Huddersfield Town,2,0
9,Premier League,Tottenham Hotspur vs Bournemouth,10/21/2017,Tottenham Hotspur,Bournemouth,1,0
9,Premier League,West Bromwich Albion vs Burnley,10/21/2017,West Bromwich Albion,Burnley,1,0
9,Premier League,Watford vs Liverpool,10/21/2017,Watford,Liverpool,3,3
10,Premier League,Arsenal vs Swansea City,10/28/2017,Arsenal,Swansea City,2,1
10,Premier League,Brighton & Hove Albion vs Southampton,10/28/2017,Brighton & Hove Albion,Southampton,1,0
10,Premier League,Manchester United vs Tottenham Hotspur,10/28/2017,Manchester United,Tottenham Hotspur,1,0
10,Premier League,Stoke City vs Bournemouth,10/28/2017,Stoke City,Bournemouth,2,1
10,Premier League,Watford vs Chelsea,10/28/2017,Watford,Chelsea,2,4
10,Premier League,Huddersfield Town vs Manchester City,10/28/2017,Huddersfield Town,Manchester City,1,2
10,Premier League,Liverpool vs Huddersfield Town,10/28/2017,Liverpool,Huddersfield Town,3,0
10,Premier League,West Bromwich Albion vs Watford,10/28/2017,West Bromwich Albion,Watford,2,2
10,Premier League,Everton vs Burnley,10/28/2017,Everton,Burnley,1,0
10,Premier League,Swansea City vs Leicester City,10/28/2017,Swansea City,Leicester City,0,2
11,Premier League,Burnley vs Arsenal,11/4/2017,Burnley,Arsenal,0,1
11,Premier League,Chelsea vs Manchester United,11/5/2017,Chelsea,Manchester United,1,0
11,Premier League,Everton vs Watford,11/5/2017,Everton,Watford,3,2
11,Premier League,Huddersfield Town vs West Bromwich Albion,11/4/2017,Huddersfield Town,West Bromwich Albion,1,1
11,Premier League,Leicester City vs Newcastle United,11/4/2017,Leicester City,Newcastle United,3,0
11,Premier League,Manchester City vs Southampton,11/4/2017,Manchester City,Southampton,2,1
11,Premier League,Stoke City vs Leicester City,11/4/2017,Stoke City,Leicester City,1,2
11,Premier League,Tottenham Hotspur vs Crystal Palace,11/5/2017,Tottenham Hotspur,Crystal Palace,1,0
11,Premier League,West Bromwich Albion vs Huddersfield Town,11/5/2017,West Bromwich Albion,Huddersfield Town,1,1
11,Premier League,Watford vs Chelsea,11/5/2017,Watford,Chelsea,2,2
12,Premier League,Brighton & Hove Albion vs Stoke City,11/18/2017,Brighton & Hove Albion,Stoke City,2,2
12,Premier League,Arsenal vs Tottenham Hotspur,11/18/2017,Arsenal,Tottenham Hotspur,2,0
12,Premier League,Everton vs Manchester City,11/18/2017,Everton,Manchester City,1,3
12,Premier League,Leicester City vs Watford,11/18/2017,Leicester City,Watford,2,0
12,Premier League,Manchester United vs Newcastle United,11/18/2017,Manchester United,Newcastle United,4,1
12,Premier League,Stoke City vs Swansea City,11/18/2017,Stoke City,Swansea City,1,1
12,Premier League,Southampton vs Liverpool,11/18/2017,Southampton,Liverpool,0,3
12,Premier League,West Bromwich Albion vs Huddersfield Town,11/18/2017,West Bromwich Albion,Huddersfield Town,1,1
12,Premier League,Burnley vs Chelsea,11/18/2017,Burnley,Chelsea,0,4
12,Premier League,Watford vs Manchester United,11/18/2017,Watford,Manchester United,2,4
13,Premier League,Bournemouth vs Burnley,11/25/2017,Bournemouth,Burnley,2,1
13,Premier League,Chelsea vs Newcastle United,11/25/2017,Chelsea,Newcastle United,3,1
13,Premier League,Huddersfield Town vs Brighton & Hove Albion,11/25/2017,Huddersfield Town,Brighton & Hove Albion,2,0
13,Premier League,Leicester City vs Tottenham Hotspur,11/25/2017,Leicester City,Tottenham Hotspur,2,1
13,Premier League,Manchester United vs Brighton & Hove Albion,11/25/2017,Manchester United,Brighton & Hove Albion,1,0
13,Premier League,Southampton vs Arsenal,11/25/2017,Southampton,Arsenal,1,1
13,Premier League,Watford vs Manchester City,11/25/2017,Watford,Manchester City,1,2
13,Premier League,West Bromwich Albion vs Swansea City,11/25/2017,West Bromwich Albion,Swansea City,0,0
13,Premier League,Stoke City vs Crystal Palace,11/25/2017,Stoke City,Crystal Palace,2,1
13,Premier League,Everton vs Liverpool,11/25/2017,Everton,Liverpool,1,1
14,Premier League,Burnley vs Bournemouth,12/2/2017,Burnley,Bournemouth,2,0
14,Premier League,Crystal Palace vs Leicester City,12/2/2017,Crystal Palace,Leicester City,2,0
14,Premier League,Everton vs Huddersfield Town,12/2/2017,Everton,Huddersfield Town,2,0
14,Premier League,Manchester United vs Manchester City,12/2/2017,Manchester United,Manchester City,1,2
14,Premier League,Newcastle United vs Chelsea,12/2/2017,Newcastle United,Chelsea,2,3
14,Premier League,Southampton vs Stoke City,12/2/2017,Southampton,Stoke City,0,1
14,Premier League,Tottenham Hotspur vs Watford,12/2/2017,Tottenham Hotspur,Watford,1,1
14,Premier League,West Bromwich Albion vs Swansea City,12/2/2017,West Bromwich Albion,Swansea City,1,2
14,Premier League,Liverpool vs Brighton & Hove Albion,12/2/2017,Liverpool,Brighton & Hove Albion,5,1
14,Premier League,Arsenal vs Huddersfield Town,12/2/2017,Arsenal,Huddersfield Town,5,0
15,Premier League,Bournemouth vs Southampton,12/9/2017,Bournemouth,Southampton,1,1
15,Premier League,Chelsea vs Huddersfield Town,12/9/2017,Chelsea,Huddersfield Town,3,1
15,Premier League,Crystal Palace vs Brighton & Hove Albion,12/9/2017,Crystal Palace,Brighton & Hove Albion,3,2
15,Premier League,Leicester City vs Burnley,12/9/2017,Leicester City,Burnley,1,0
15,Premier League,Manchester City vs West Ham United,12/9/2017,Manchester City,West Ham United,2,1
15,Premier League,Newcastle United vs Everton,12/9/2017,Newcastle United,Everton,1,0
15,Premier League,Stoke City vs Tottenham Hotspur,12/9/2017,Stoke City,Tottenham Hotspur,2,1
15,Premier League,Swansea City vs Chelsea,12/9/2017,Swansea City,Chelsea,0,1
15,Premier League,West Bromwich Albion vs Liverpool,12/9/2017,West Bromwich Albion,Liverpool,0,0
15,Premier League,Watford vs Arsenal,12/9/2017,Watford,Arsenal,2,1
16,Premier League,Bournemouth vs Leicester City,12/16/2017,Bournemouth,Leicester City,2,1
16,Premier League,Brighton & Hove Albion vs Watford,12/16/2017,Brighton & Hove Albion,Watford,1,1
16,Premier League,Chelsea vs Southampton,12/16/2017,Chelsea,Southampton,1,0
16,Premier League,Crystal Palace vs Leicester City,12/16/2017,Crystal Palace,Leicester City,3,0
16,Premier League,Everton vs Manchester City,12/16/2017,Everton,Manchester City,1,4
16,Premier League,Newcastle United vs Arsenal,12/16/2017,Newcastle United,Arsenal,0,1
16,Premier League,Stoke City vs West Bromwich Albion,12/16/2017,Stoke City,West Bromwich Albion,2,1
16,Premier League,Tottenham Hotspur vs Burnley,12/16/2017,Tottenham Hotspur,Burnley,2,1
16,Premier League,Watford vs West Ham United,12/16/2017,Watford,West Ham United,2,1
16,Premier League,Manchester United vs Huddersfield Town,12/16/2017,Manchester United,Huddersfield Town,2,0
17,Premier League,Arsenal vs Newcastle United,12/23/2017,Arsenal,Newcastle United,1,0
17,Premier League,Burnley vs Everton,12/23/2017,Burnley,Everton,1,0
17,Premier League,Chelsea vs Brighton & Hove Albion,12/23/2017,Chelsea,Brighton & Hove Albion,2,0
17,Premier League,Huddersfield Town vs Southampton,12/23/2017,Huddersfield Town,Southampton,1,1
17,Premier League,Leicester City vs Manchester United,12/23/2017,Leicester City,Manchester United,2,2
17,Premier League,Stoke City vs West Ham United,12/23/2017,Stoke City,West Ham United,0,3
17,Premier League,Tottenham Hotspur vs Bournemouth,12/23/2017,Tottenham Hotspur,Bournemouth,5,1
17,Premier League,West Bromwich Albion vs Watford,12/23/2017,West Bromwich Albion,Watford,2,1
17,Premier League,Liverpool vs Swansea City,12/23/2017,Liverpool,Swansea City,5,0
17,Premier League,Manchester City vs Crystal Palace,12/23/2017,Manchester City,Crystal Palace,4,0
18,Premier League,Arsenal vs Liverpool,12/22/2017,Arsenal,Liverpool,3,3
18,Premier League,Bournemouth vs Brighton & Hove Albion,12/22/2017,Bournemouth,Brighton & Hove Albion,2,1
18,Premier League,Chelsea vs Southampton,12/22/2017,Chelsea,Southampton,1,0
18,Premier League,Crystal Palace vs Leicester City,12/22/2017,Crystal Palace,Leicester City,3,0
18,Premier League,Everton vs Chelsea,12/22/2017,Everton,Chelsea,0,0
18,Premier League,Manchester United vs Burnley,12/22/2017,Manchester United,Burnley,2,2
18,Premier League,Newcastle United vs West Bromwich Albion,12/22/2017,Newcastle United,West Bromwich Albion,2,1
18,Premier League,Stoke City vs Tottenham Hotspur,12/22/2017,Stoke City,Tottenham Hotspur,1,2
18,Premier League,Watford vs Huddersfield Town,12/22/2017,Watford,Huddersfield Town,3,2
18,Premier League,West Ham United vs Swansea City,12/22/2017,West Ham United,Swansea City,1,1
19,Premier League,Brighton & Hove Albion vs Arsenal,12/30/2017,Brighton & Hove Albion,Arsenal,1,1
19,Premier League,Burnley vs Sunderland,12/30/2017,Burnley,Sunderland,1,0
19,Premier League,Chelsea vs Stoke City,12/30/2017,Chelsea,Stoke City,5,0
19,Premier League,Crystal Palace vs Watford,12/30/2017,Crystal Palace,Watford,2,0
19,Premier League,Everton vs West Bromwich Albion,12/30/2017,Everton,West Bromwich Albion,2,0
19,Premier League,Leicester City vs Manchester United,12/30/2017,Leicester City,Manchester United,0,2
19,Premier League,Manchester City vs Chelsea,12/30/2017,Manchester City,Chelsea,1,0
19,Premier League,Southampton vs Watford,12/30/2017,Southampton,Watford,1,2
19,Premier League,Tottenham Hotspur vs Stoke City,12/30/2017,Tottenham Hotspur,Stoke City,4,0
19,Premier League,West Ham United vs Huddersfield Town,12/30/2017,West Ham United,Huddersfield Town,2,1
20,Premier League,Arsenal vs Crystal Palace,12/31/2017,Arsenal,Crystal Palace,3,2
20,Premier League,Brighton & Hove Albion vs Bournemouth,12/31/2017,Brighton & Hove Albion,Bournemouth,2,1
20,Premier League,Chelsea vs Leicester City,12/31/2017,Chelsea,Leicester City,2,0
20,Premier League,Everton vs Manchester United,12/31/2017,Everton,Manchester United,0,2
20,Premier League,Huddersfield Town vs Southampton,12/31/2017,Huddersfield Town,Southampton,1,1
20,Premier League,Leicester City vs Watford,12/31/2017,Leicester City,Watford,1,2
20,Premier League,Manchester City vs Burnley,12/31/2017,Manchester City,Burnley,4,1
20,Premier League,Stoke City vs Liverpool,12/31/2017,Stoke City,Liverpool,0,3
20,Premier League,Tottenham Hotspur vs West Bromwich Albion,12/31/2017,Tottenham Hotspur,West Bromwich Albion,3,0
20,Premier League,West Ham United vs Swansea City,12/31/2017,West Ham United,Swansea City,1,1
21,Premier League,Arsenal vs Chelsea,1/3/2018,Arsenal,Chelsea,2,2
21,Premier League,Burnley vs Watford,1/3/2018,Burnley,Watford,1,1
21,Premier League,Chelsea vs Everton,1/3/2018,Chelsea,Everton,2,0
21,Premier League,Huddersfield Town vs Southampton,1/3/2018,Huddersfield Town,Southampton,1,1
21,Premier League,Leicester City vs Stoke City,1/3/2018,Leicester City,Stoke City,2,1
21,Premier League,Manchester City vs Liverpool,1/3/2018,Manchester City,Liverpool,2,1
21,Premier League,Newcastle United vs West Bromwich Albion,1/3/2018,Newcastle United,West Bromwich Albion,1,0
21,Premier League,Southampton vs West Ham United,1/3/2018,Southampton,West Ham United,1,1
21,Premier League,Tottenham Hotspur vs Watford,1/3/2018,Tottenham Hotspur,Watford,4,1
21,Premier League,West Bromwich Albion vs Swansea City,1/3/2018,West Bromwich Albion,Swansea City,2,0
22,Premier League,Arsenal vs West Ham United,1/13/2018,Arsenal,West Ham United,3,0
22,Premier League,Bournemouth vs Chelsea,1/13/2018,Bournemouth,Chelsea,0,3
22,Premier League,Crystal Palace vs Burnley,1/13/2018,Crystal Palace,Burnley,1,0
22,Premier League,Everton vs Leicester City,1/13/2018,Everton,Leicester City,2,1
22,Premier League,Huddersfield Town vs Manchester City,1/13/2018,Huddersfield Town,Manchester City,0,1
22,Premier League,Manchester United vs Stoke City,1/13/2018,Manchester United,Stoke City,3,0
22,Premier League,Southampton vs Tottenham Hotspur,1/13/2018,Southampton,Tottenham Hotspur,1,1
22,Premier League,Watford vs Newcastle United,1/13/2018,Watford,Newcastle United,2,1
22,Premier League,West Bromwich Albion vs Brighton & Hove Albion,1/13/2018,West Bromwich Albion,Brighton & Hove Albion,2,0
22,Premier League,West Ham United vs Swansea City,1/13/2018,West Ham United,Swansea City,1,1
23,Premier League,Arsenal vs Bournemouth,1/14/2018,Arsenal,Bournemouth,2,1
23,Premier League,Brighton & Hove Albion vs Chelsea,1/14/2018,Brighton & Hove Albion,Chelsea,0,4
23,Premier League,Burnley vs Crystal Palace,1/14/2018,Burnley,Crystal Palace,1,1
23,Premier League,Leicester City vs Watford,1/14/2018,Leicester City,Watford,2,0
23,Premier League,Manchester City vs Newcastle United,1/14/2018,Manchester City,Newcastle United,3,1
23,Premier League,Manchester United vs Huddersfield Town,1/14/2018,Manchester United,Huddersfield Town,2,0
23,Premier League,Southampton vs Tottenham Hotspur,1/14/2018,Southampton,Tottenham Hotspur,1,2
23,Premier League,Stoke City vs Brighton & Hove Albion,1/14/2018,Stoke City,Brighton & Hove Albion,1,2
23,Premier League,West Ham United vs West Bromwich Albion,1/14/2018,West Ham United,West Bromwich Albion,2,1
23,Premier League,Swansea City vs Everton,1/14/2018,Swansea City,Everton,1,0
24,Premier League,Arsenal vs Crystal Palace,1/20/2018,Arsenal,Crystal Palace,4,1
24,Premier League,Bournemouth vs Chelsea,1/20/2018,Bournemouth,Chelsea,0,1
24,Premier League,Burnley vs Manchester United,1/20/2018,Burnley,Manchester United,0,1
24,Premier League,Leicester City vs Everton,1/20/2018,Leicester City,Everton,1,1
24,Premier League,Manchester City vs Newcastle United,1/20/2018,Manchester City,Newcastle United,3,1
24,Premier League,Southampton vs Watford,1/20/2018,Southampton,Watford,1,1
24,Premier League,Stoke City vs Huddersfield Town,1/20/2018,Stoke City,Huddersfield Town,2,0
24,Premier League,Tottenham Hotspur vs West Bromwich Albion,1/20/2018,Tottenham Hotspur,West Bromwich Albion,4,0
24,Premier League,West Ham United vs Swansea City,1/20/2018,West Ham United,Swansea City,1,0
24,Premier League,Watford vs Leicester City,1/20/2018,Watford,Leicester City,0,1
25,Premier League,Arsenal vs Everton,1/31/2018,Arsenal,Everton,5,1
25,Premier League,Burnley vs Leicester City,1/31/2018,Burnley,Leicester City,1,2
25,Premier League,Chelsea vs Bournemouth,1/31/2018,Chelsea,Bournemouth,3,0
25,Premier League,Crystal Palace vs Newcastle United,1/31/2018,Crystal Palace,Newcastle United,1,0
25,Premier League,Huddersfield Town vs Southampton,1/31/2018,Huddersfield Town,Southampton,0,1
25,Premier League,Leicester City vs Manchester United,1/31/2018,Leicester City,Manchester United,0,2
25,Premier League,Manchester City vs Tottenham Hotspur,1/31/2018,Manchester City,Tottenham Hotspur,4,1
25,Premier League,Southampton vs West Ham United,1/31/2018,Southampton,West Ham United,3,2
25,Premier League,Stoke City vs Watford,1/31/2018,Stoke City,Watford,0,1
25,Premier League,West Bromwich Albion vs Swansea City,1/31/2018,West Bromwich Albion,Swansea City,2,0
26,Premier League,Arsenal vs Manchester City,2/3/2018,Arsenal,Manchester City,0,3
26,Premier League,Brighton & Hove Albion vs West Bromwich Albion,2/3/2018,Brighton & Hove Albion,West Bromwich Albion,2,0
26,Premier League,Burnley vs Southampton,2/3/2018,Burnley,Southampton,1,1
26,Premier League,Chelsea vs Hull City,2/3/2018,Chelsea,Hull City,3,0
26,Premier League,Leicester City vs Watford,2/3/2018,Leicester City,Watford,1,0
26,Premier League,Manchester United vs Tottenham Hotspur,2/3/2018,Manchester United,Tottenham Hotspur,2,1
26,Premier League,Stoke City vs Huddersfield Town,2/3/2018,Stoke City,Huddersfield Town,2,0
26,Premier League,West Ham United vs Liverpool,2/3/2018,West Ham United,Liverpool,1,1
26,Premier League,Swansea City vs Manchester City,2/3/2018,Swansea City,Manchester City,0,2
26,Premier League,Newcastle United vs Everton,2/3/2018,Newcastle United,Everton,1,0
27,Premier League,Arsenal vs Huddersfield Town,2/10/2018,Arsenal,Huddersfield Town,5,0
27,Premier League,Burnley vs Swansea City,2/10/2018,Burnley,Swansea City,1,0
27,Premier League,Chelsea vs Brighton & Hove Albion,2/10/2018,Chelsea,Brighton & Hove Albion,4,0
27,Premier League,Everton vs Crystal Palace,2/10/2018,Everton,Crystal Palace,3,1
27,Premier League,Leicester City vs Stoke City,2/10/2018,Leicester City,Stoke City,3,1
27,Premier League,Manchester United vs Liverpool,2/10/2018,Manchester United,Liverpool,2,1
27,Premier League,Southampton vs Tottenham Hotspur,2/10/2018,Southampton,Tottenham Hotspur,1,1
27,Premier League,West Ham United vs Watford,2/10/2018,West Ham United,Watford,2,0
27,Premier League,Newcastle United vs Bournemouth,2/10/2018,Newcastle United,Bournemouth,1,0
27,Premier League,Watford vs Everton,2/10/2018,Watford,Everton,1,0
28,Premier League,Arsenal vs Southampton,2/14/2018,Arsenal,Southampton,5,0
28,Premier League,Burnley vs Leicester City,2/14/2018,Burnley,Leicester City,1,1
28,Premier League,Chelsea vs West Bromwich Albion,2/14/2018,Chelsea,West Bromwich Albion,3,0
28,Premier League,Crystal Palace vs Huddersfield Town,2/14/2018,Crystal Palace,Huddersfield Town,3,1
28,Premier League,Leicester City vs Manchester United,2/14/2018,Leicester City,Manchester United,1,2
28,Premier League,Manchester City vs Bournemouth,2/14/2018,Manchester City,Bournemouth,2,0
28,Premier League,Stoke City vs Watford,2/14/2018,Stoke City,Watford,2,1
28,Premier League,West Ham United vs Newcastle United,2/14/2018,West Ham United,Newcastle United,3,1
28,Premier League,Southampton vs Everton,2/14/2018,Southampton,Everton,4,1
28,Premier League,Tottenham Hotspur vs Brighton & Hove Albion,2/14/2018,Tottenham Hotspur,Brighton & Hove Albion,2,0
29,Premier League,Arsenal vs Watford,3/3/2018,Arsenal,Watford,3,0
29,Premier League,Burnley vs Everton,3/3/2018,Burnley,Everton,2,1
29,Premier League,Chelsea vs Crystal Palace,3/3/2018,Chelsea,Crystal Palace,2,1
29,Premier League,Huddersfield Town vs Swansea City,3/3/2018,Huddersfield Town,Swansea City,2,0
29,Premier League,Leicester City vs Bournemouth,3/3/2018,Leicester City,Bournemouth,1,0
29,Premier League,Manchester United vs Chelsea,3/3/2018,Manchester United,Chelsea,2,1
29,Premier League,Southampton vs Stoke City,3/3/2018,Southampton,Stoke City,1,0
29,Premier League,Tottenham Hotspur vs Huddersfield Town,3/3/2018,Tottenham Hotspur,Huddersfield Town,4,0
29,Premier League,West Bromwich Albion vs Leicester City,3/3/2018,West Bromwich Albion,Leicester City,1,1
29,Premier League,Newcastle United vs Crystal Palace,3/3/2018,Newcastle United,Crystal Palace,1,0
30,Premier League,Arsenal vs Manchester City,3/10/2018,Arsenal,Manchester City,0,3
30,Premier League,Burnley vs Southampton,3/10/2018,Burnley,Southampton,1,1
30,Premier League,Chelsea vs Leicester City,3/10/2018,Chelsea,Leicester City,2,1
30,Premier League,Crystal Palace vs Liverpool,3/10/2018,Crystal Palace,Liverpool,1,2
30,Premier League,Everton vs Stoke City,3/10/2018,Everton,Stoke City,2,1
30,Premier League,Huddersfield Town vs Brighton & Hove Albion,3/10/2018,Huddersfield Town,Brighton & Hove Albion,0,0
30,Premier League,Leicester City vs Newcastle United,3/10/2018,Leicester City,Newcastle United,1,0
30,Premier League,Manchester United vs West Bromwich Albion,3/10/2018,Manchester United,West Bromwich Albion,2,0
30,Premier League,Southampton vs Watford,3/10/2018,Southampton,Watford,3,2
30,Premier League,Tottenham Hotspur vs Swansea City,3/10/2018,Tottenham Hotspur,Swansea City,3,0
31,Premier League,Arsenal vs Stoke City,3/17/2018,Arsenal,Stoke City,3,0
31,Premier League,Brighton & Hove Albion vs Leicester City,3/17/2018,Brighton & Hove Albion,Leicester City,2,0
31,Premier League,Chelsea vs Tottenham Hotspur,3/17/2018,Chelsea,Tottenham Hotspur,1,3
