round_number,league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
6,Premier League,Leicester City vs Huddersfield Town,9/29/2018,Leicester City,Huddersfield Town,3,1
6,Premier League,Burnley vs AFC Bournemouth,9/29/2018,Burnley,AFC Bournemouth,0,4
6,Premier League,Brighton & Hove Albion vs Tottenham Hotspur,9/29/2018,Brighton & Hove Albion,Tottenham Hotspur,1,2
6,Premier League,Chelsea vs West Ham United,9/29/2018,Chelsea,West Ham United,0,0
6,Premier League,Southampton vs Liverpool,9/29/2018,Southampton,Liverpool,1,3
6,Premier League,Everton vs Leicester City,9/29/2018,Everton,Leicester City,2,1
6,Premier League,Cardiff City vs Newcastle United,9/29/2018,Cardiff City,Newcastle United,1,0
6,Premier League,Arsenal vs Fulham,9/29/2018,Arsenal,Fulham,5,1
7,Premier League,Leicester City vs Liverpool,10/6/2018,Leicester City,Liverpool,1,2
7,Premier League,Cardiff City vs Tottenham Hotspur,10/6/2018,Cardiff City,Tottenham Hotspur,1,4
7,Premier League,Everton vs AFC Bournemouth,10/6/2018,Everton,AFC Bournemouth,2,0
7,Premier League,Southampton vs Chelsea,10/7/2018,Southampton,Chelsea,0,3
7,Premier League,West Ham United vs Manchester United,10/7/2018,West Ham United,Manchester United,3,1
7,Premier League,Fulham vs Watford,10/7/2018,Fulham,Watford,1,1
7,Premier League,Arsenal vs Watford,10/7/2018,Arsenal,Watford,2,0
7,Premier League,Brighton & Hove Albion vs Newcastle United,10/7/2018,Brighton & Hove Albion,Newcastle United,1,0
7,Premier League,Burnley vs Huddersfield Town,10/7/2018,Burnley,Huddersfield Town,2,0
7,Premier League,Manchester City vs Crystal Palace,10/7/2018,Manchester City,Crystal Palace,2,0
8,Premier League,Southampton vs Wolves,10/20/2018,Southampton,Wolverhampton Wanderers,0,2
8,Premier League,Manchester United vs Newcastle United,10/20/2018,Manchester United,Newcastle United,3,2
8,Premier League,Cardiff City vs Burnley,10/20/2018,Cardiff City,Burnley,2,1
8,Premier League,Leicester City vs Everton,10/20/2018,Leicester City,Everton,1,2
8,Premier League,West Ham United vs Tottenham Hotspur,10/20/2018,West Ham United,Tottenham Hotspur,1,0
8,Premier League,Fulham vs Huddersfield Town,10/20/2018,Fulham,Huddersfield Town,1,0
8,Premier League,AFC Bournemouth vs Chelsea,10/20/2018,AFC Bournemouth,Chelsea,0,4
8,Premier League,Brighton & Hove Albion vs Manchester City,10/20/2018,Brighton & Hove Albion,Manchester City,0,2
8,Premier League,Arsenal vs Crystal Palace,10/20/2018,Arsenal,Crystal Palace,2,2
8,Premier League,Watford vs Liverpool,10/20/2018,Watford,Li
9,Premier League,Newcastle United vs Watford,10/27/2018,Newcastle United,Watford,1,0
9,Premier League,West Ham United vs Burnley,10/27/2018,West Ham United,Burnley,4,2
9,Premier League,Fulham vs AFC Bournemouth,10/27/2018,Fulham,AFC Bournemouth,0,3
9,Premier League,Arsenal vs Leicester City,10/27/2018,Arsenal,Leicester City,3,1
9,Premier League,Cardiff City vs Tottenham Hotspur,10/27/2018,Cardiff City,Tottenham Hotspur,1,4
9,Premier League,Manchester City vs Southampton,10/27/2018,Manchester City,Southampton,6,1
9,Premier League,Burnley vs Chelsea,10/27/2018,Burnley,Chelsea,0,4
9,Premier League,Crystal Palace vs Wolverhampton Wanderers,10/27/2018,Crystal Palace,Wolverhampton Wanderers,1,2
9,Premier League,Liverpool vs Huddersfield Town,10/27/2018,Liverpool,Huddersfield Town,1,0
9,Premier League,Everton vs Manchester United,10/28/2018,Everton,Manchester United,1,2
10,Premier League,Arsenal vs Liverpool,11/3/2018,Arsenal,Liverpool,1,1
10,Premier League,Leicester City vs Burnley,11/3/2018,Leicester City,Burnley,0,0
10,Premier League,Crystal Palace vs Chelsea,11/3/2018,Crystal Palace,Chelsea,1,3
10,Premier League,Fulham vs Cardiff City,11/3/2018,Fulham,Cardiff City,4,2
10,Premier League,Huddersfield Town vs AFC Bournemouth,11/3/2018,Huddersfield Town,AFC Bournemouth,1,2
10,Premier League,Manchester City vs Manchester United,11/3/2018,Manchester City,Manchester United,3,1
10,Premier League,Southampton vs Watford,11/3/2018,Southampton,Watford,1,1
10,Premier League,Tottenham Hotspur vs Wolverhampton Wanderers,11/3/2018,Tottenham Hotspur,Wolverhampton Wanderers,3,2
10,Premier League,Everton vs Brighton & Hove Albion,11/3/2018,Everton,Brighton & Hove Albion,3,1
10,Premier League,Newcastle United vs West Ham United,11/3/2018,Newcastle United,West Ham United,0,3
11,Premier League,Cardiff City vs Brighton & Hove Albion,11/10/2018,Cardiff City,Brighton & Hove Albion,2,1
11,Premier League,Manchester United vs Bournemouth,11/10/2018,Manchester United,Bournemouth,2,1
11,Premier League,Fulham vs Liverpool,11/10/2018,Fulham,Liverpool,0,2
11,Premier League,Tottenham Hotspur vs Crystal Palace,11/10/2018,Tottenham Hotspur,Crystal Palace,1,0
11,Premier League,Southampton vs Watford,11/10/2018,Southampton,Watford,1,1
11,Premier League,West Ham United vs Burnley,11/10/2018,West Ham United,Burnley,4,2
11,Premier League,Arsenal vs Wolverhampton Wanderers,11/10/2018,Arsenal,Wolverhampton Wanderers,1,1
11,Premier League,Everton vs Chelsea,11/10/2018,Everton,Chelsea,0,0
11,Premier League,Leicester City vs Newcastle United,11/10/2018,Leicester City,Newcastle United,1,0
11,Premier League,Cardiff City vs Tottenham Hotspur,11/11/2018,Cardiff City,Tottenham Hotspur,1,0
12,Premier League,Watford vs Leicester City,11/24/2018,Watford,Leicester City,2,0
12,Premier League,West Ham United vs Manchester City,11/24/2018,West Ham United,Manchester City,0,4
12,Premier League,Southampton vs Fulham,11/24/2018,Southampton,Fulham,3,2
12,Premier League,Everton vs Cardiff City,11/24/2018,Everton,Cardiff City,1,0
12,Premier League,Chelsea vs Tottenham Hotspur,11/24/2018,Chelsea,Tottenham Hotspur,2,0
12,Premier League,Brighton & Hove Albion vs Crystal Palace,11/24/2018,Brighton & Hove Albion,Crystal Palace,3,1
12,Premier League,Burnley vs Watford,11/24/2018,Burnley,Watford,1,2
12,Premier League,Leicester City vs West Ham United,11/24/2018,Leicester City,West Ham United,2,0
12,Premier League,Arsenal vs Southampton,11/24/2018,Arsenal,Southampton,3,2
12,Premier League,Middlesbrough vs Manchester United,11/24/2018,Middlesbrough,Manchester United,1,2
13,Premier League,Tottenham Hotspur vs Arsenal,11/30/2018,Tottenham Hotspur,Arsenal,2,0
13,Premier League,Southampton vs Everton,11/30/2018,Southampton,Everton,1,0
13,Premier League,Watford vs Chelsea,11/30/2018,Watford,Chelsea,1,2
13,Premier League,Cardiff City vs Manchester United,11/30/2018,Cardiff City,Manchester United,1,0
13,Premier League,Fulham vs Leicester City,12/1/2018,Fulham,Leicester City,2,3
13,Premier League,West Ham United vs Watford,12/1/2018,West Ham United,Watford,1,1
13,Premier League,Burnley vs Bournemouth,12/1/2018,Burnley,AFC Bournemouth,1,0
13,Premier League,Arsenal vs Newcastle United,12/1/2018,Arsenal,Newcastle United,4,0
13,Premier League,Manchester United vs Liverpool,12/1/2018,Manchester United,Liverpool,3,1
13,Premier League,Southampton vs Wolverhampton Wanderers,12/1/2018,Southampton,Wolverhampton Wanderers,0,2
14,Premier League,Cardiff City vs Leicester City,12/8/2018,Cardiff City,Leicester City,2,1
14,Premier League,Fulham vs Chelsea,12/8/2018,Fulham,Chelsea,1,2
14,Premier League,Manchester City vs Watford,12/8/2018,Manchester City,Watford,2,1
14,Premier League,Newcastle United vs Burnley,12/8/2018,Newcastle United,Burnley,1,0
14,Premier League,Southampton vs Crystal Palace,12/8/2018,Southampton,Crystal Palace,1,1
14,Premier League,Tottenham Hotspur vs AFC Bournemouth,12/8/2018,Tottenham Hotspur,AFC Bournemouth,1,0
14,Premier League,Everton vs Manchester United,12/8/2018,Everton,Manchester United,2,1
14,Premier League,Arsenal vs Huddersfield Town,12/8/2018,Arsenal,Huddersfield Town,1,0
14,Premier League,West Ham United vs Wolverhampton Wanderers,12/8/2018,West Ham United,Wolverhampton Wanderers,0,1
14,Premier League,Liverpool vs Burnley,12/8/2018,Liverpool,Burnley,3,1
15,Premier League,Bournemouth vs Huddersfield Town,12/15/2018,AFC Bournemouth,Huddersfield Town,2,1
15,Premier League,Chelsea vs Manchester City,12/15/2018,Chelsea,Manchester City,2,0
15,Premier League,Everton vs Burnley,12/15/2018,Everton,Burnley,5,1
15,Premier League,Leicester City vs Tottenham Hotspur,12/15/2018,Leicester City,Tottenham Hotspur,2,1
15,Premier League,Manchester United vs Fulham,12/15/2018,Manchester United,Fulham,4,1
15,Premier League,Newcastle United vs Wolverhampton Wanderers,12/15/2018,Newcastle United,Wolverhampton Wanderers,1,2
15,Premier League,Southampton vs Arsenal,12/15/2018,Southampton,Arsenal,3,2
15,Premier League,Watford vs Cardiff City,12/15/2018,Watford,Cardiff City,3,2
15,Premier League,West Ham United vs Crystal Palace,12/15/2018,West Ham United,Crystal Palace,3,2
15,Premier League,Liverpool vs Newcastle United,12/15/2018,Liverpool,Newcastle United,4,0
16,Premier League,AFC Bournemouth vs Manchester United,12/22/2018,AFC Bournemouth,Manchester United,1,0
16,Premier League,Cardiff City vs Crystal Palace,12/22/2018,Cardiff City,Crystal Palace,3,2
16,Premier League,Leicester City vs Chelsea,12/22/2018,Leicester City,Chelsea,0,1
16,Premier League,Liverpool vs Arsenal,12/22/2018,Liverpool,Arsenal,5,1
16,Premier League,Southampton vs Huddersfield Town,12/22/2018,Southampton,Huddersfield Town,3,1
16,Premier League,Tottenham Hotspur vs Burnley,12/22/2018,Tottenham Hotspur,Burnley,1,0
16,Premier League,West Ham United vs Watford,12/22/2018,West Ham United,Watford,2,0
16,Premier League,Everton vs Tottenham Hotspur,12/22/2018,Everton,Tottenham Hotspur,2,6
16,Premier League,Manchester City vs Crystal Palace,12/22/2018,Manchester City,Crystal Palace,3,1
16,Premier League,Newcastle United vs Wolverhampton Wanderers,12/22/2018,Newcastle United,Wolverhampton Wanderers,1,2
17,Premier League,Arsenal vs Burnley,12/26/2018,Arsenal,Burnley,3,1
17,Premier League,Bournemouth vs Brighton & Hove Albion,12/26/2018,AFC Bournemouth,Brighton & Hove Albion,5,0
17,Premier League,Cardiff City vs Leicester City,12/26/2018,Cardiff City,Leicester City,0,1
17,Premier League,Crystal Palace vs Chelsea,12/26/2018,Crystal Palace,Chelsea,0,1
17,Premier League,Fulham vs Wolverhampton Wanderers,12/26/2018,Fulham,Wolverhampton Wanderers,1,1
17,Premier League,Manchester United vs Huddersfield Town,12/26/2018,Manchester United,Huddersfield Town,3,1
17,Premier League,Newcastle United vs Everton,12/26/2018,Newcastle United,Everton,1,1
17,Premier League,Southampton vs West Ham United,12/26/2018,Southampton,West Ham United,3,1
17,Premier League,Tottenham Hotspur vs AFC Bournemouth,12/26/2018,Tottenham Hotspur,AFC Bournemouth,5,0
17,Premier League,Watford vs Liverpool,12/26/2018,Watford,Liverpool,0,2
18,Premier League,Brighton & Hove Albion vs Arsenal,12/29/2018,Brighton & Hove Albion,Arsenal,1,1
18,Premier League,Burnley vs Everton,12/29/2018,Burnley,Everton,1,5
18,Premier League,Cardiff City vs Manchester United,12/29/2018,Cardiff City,Manchester United,0,5
18,Premier League,Chelsea vs Southampton,12/29/2018,Chelsea,Southampton,0,0
18,Premier League,Leicester City vs Manchester City,12/29/2018,Leicester City,Manchester City,2,1
18,Premier League,Liverpool vs Newcastle United,12/29/2018,Liverpool,Newcastle United,4,0
18,Premier League,Tottenham Hotspur vs Wolverhampton Wanderers,12/29/2018,Tottenham Hotspur,Wolverhampton Wanderers,3,0
18,Premier League,West Ham United vs Fulham,12/29/2018,West Ham United,Fulham,2,0
18,Premier League,Southampton vs Huddersfield Town,12/29/2018,Southampton,Huddersfield Town,3,1
18,Premier League,Watford vs Crystal Palace,12/29/2018,Watford,Crystal Palace,1,2
19,Premier League,Burnley vs Liverpool,1/1/2019,Burnley,Liverpool,1,4
19,Premier League,Cardiff City vs Tottenham Hotspur,1/1/2019,Cardiff City,Tottenham Hotspur,0,3
19,Premier League,Everton vs Leicester City,1/1/2019,Everton,Leicester City,1,0
19,Premier League,Fulham vs Huddersfield Town,1/1/2019,Fulham,Huddersfield Town,1,0
19,Premier League,Manchester United vs Reading,1/1/2019,Manchester United,Reading,2,0
19,Premier League,Newcastle United vs Crystal Palace,1/1/2019,Newcastle United,Crystal Palace,0,1
19,Premier League,Southampton vs Burnley,1/1/2019,Southampton,Burnley,2,0
19,Premier League,Tottenham Hotspur vs Huddersfield Town,1/1/2019,Tottenham Hotspur,Huddersfield Town,1,0
19,Premier League,West Ham United vs AFC Bournemouth,1/1/2019,West Ham United,AFC Bournemouth,2,0
19,Premier League,Watford vs Manchester United,1/1/2019,Watford,Manchester United,1,2
20,Premier League,Cardiff City vs Manchester United,1/12/2019,Cardiff City,Manchester United,0,5
20,Premier League,Chelsea vs Newcastle United,1/12/2019,Chelsea,Newcastle United,2,1
20,Premier League,Fulham vs Burnley,1/12/2019,Fulham,Burnley,1,2
20,Premier League,Leicester City vs Southampton,1/12/2019,Leicester City,Southampton,2,1
20,Premier League,Liverpool vs Crystal Palace,1/12/2019,Liverpool,Crystal Palace,4,3
20,Premier League,Manchester United vs AFC Bournemouth,1/12/2019,Manchester United,AFC Bournemouth,2,0
20,Premier League,Southampton vs Watford,1/12/2019,Southampton,Watford,2,1
20,Premier League,Tottenham Hotspur vs Wolverhampton Wanderers,1/12/2019,Tottenham Hotspur,Wolverhampton Wanderers,3,2
20,Premier League,West Ham United vs Everton,1/12/2019,West Ham United,Everton,2,0
20,Premier League,Arsenal vs Burnley,1/12/2019,Arsenal,Burnley,3,1
21,Premier League,AFC Bournemouth vs Arsenal,1/19/2019,AFC Bournemouth,Arsenal,1,2
21,Premier League,Cardiff City vs Huddersfield Town,1/19/2019,Cardiff City,Huddersfield Town,0,1
21,Premier League,Chelsea vs Newcastle United,1/19/2019,Chelsea,Newcastle United,2,1
21,Premier League,Everton vs Leicester City,1/19/2019,Everton,Leicester City,1,0
21,Premier League,Fulham vs Watford,1/19/2019,Fulham,Watford,1,1
21,Premier League,Manchester United vs Burnley,1/19/2019,Manchester United,Burnley,2,1
21,Premier League,Southampton vs Tottenham Hotspur,1/19/2019,Southampton,Tottenham Hotspur,1,3
21,Premier League,Tottenham Hotspur vs Wolverhampton Wanderers,1/19/2019,Tottenham Hotspur,Wolverhampton Wanderers,2,1
21,Premier League,West Ham United vs Fulham,1/19/2019,West Ham United,Fulham,2,0
21,Premier League,Liverpool vs Leicester City,1/19/2019,Liverpool,Leicester City,4,0
22,Premier League,Arsenal vs Manchester City,1/26/2019,Arsenal,Manchester City,1,3
22,Premier League,AFC Bournemouth vs Huddersfield Town,1/26/2019,AFC Bournemouth,Huddersfield Town,2,0
22,Premier League,Burnley vs Watford,1/26/2019,Burnley,Watford,0,2
22,Premier League,Chelsea vs Huddersfield Town,1/26/2019,Chelsea,Huddersfield Town,5,0
22,Premier League,Fulham vs Leicester City,1/26/2019,Fulham,Leicester City,1,2
22,Premier League,Manchester United vs Burnley,1/26/2019,Manchester United,Burnley,3,1
22,Premier League,Newcastle United vs Manchester United,1/26/2019,Newcastle United,Manchester United,0,2
22,Premier League,Tottenham Hotspur vs West Ham United,1/26/2019,Tottenham Hotspur,West Ham United,2,1
22,Premier League,Southampton vs Arsenal,1/26/2019,Southampton,Arsenal,3,2
22,Premier League,Watford vs Everton,1/26/2019,Watford,Everton,2,2
23,Premier League,Arsenal vs Liverpool,2/2/2019,Arsenal,Liverpool,1,3
23,Premier League,AFC Bournemouth vs Chelsea,2/2/2019,AFC Bournemouth,Chelsea,0,4
23,Premier League,Burnley vs Manchester United,2/2/2019,Burnley,Manchester United,2,2
23,Premier League,Chelsea vs Crystal Palace,2/2/2019,Chelsea,Crystal Palace,3,1
23,Premier League,Everton vs Huddersfield Town,2/2/2019,Everton,Huddersfield Town,1,0
23,Premier League,Fulham vs Newcastle United,2/2/2019,Fulham,Newcastle United,0,2
23,Premier League,Leicester City vs Liverpool,2/2/2019,Leicester City,Liverpool,1,2
23,Premier League,Manchester United vs Southampton,2/2/2019,Manchester United,Southampton,2,1
23,Premier League,West Ham United vs Arsenal,2/2/2019,West Ham United,Arsenal,1,3
23,Premier League,Wolverhampton Wanderers vs Watford,2/2/2019,Wolverhampton Wanderers,Watford,0,2
24,Premier League,AFC Bournemouth vs West Ham United,2/9/2019,AFC Bournemouth,West Ham United,1,2
24,Premier League,Burnley vs Southampton,2/9/2019,Burnley,Southampton,1,1
24,Premier League,Chelsea vs Huddersfield Town,2/9/2019,Chelsea,Huddersfield Town,5,0
24,Premier League,Crystal Palace vs Fulham,2/9/2019,Crystal Palace,Fulham,2,0
24,Premier League,Leicester City vs Manchester United,2/9/2019,Leicester City,Manchester United,0,1
24,Premier League,Liverpool vs AFC Bournemouth,2/9/2019,Liverpool,AFC Bournemouth,3,0
24,Premier League,Newcastle United vs Cardiff City,2/9/2019,Newcastle United,Cardiff City,3,0
24,Premier League,Southampton vs Chelsea,2/9/2019,Southampton,Chelsea,0,0
24,Premier League,Tottenham Hotspur vs Watford,2/9/2019,Tottenham Hotspur,Watford,2,1
24,Premier League,Manchester City vs Everton,2/9/2019,Manchester City,Everton,2,0
25,Premier League,AFC Bournemouth vs Wolverhampton Wanderers,2/23/2019,AFC Bournemouth,Wolverhampton Wanderers,1,1
25,Premier League,Cardiff City vs Southampton,2/23/2019,Cardiff City,Southampton,0,1
25,Premier League,Chelsea vs Manchester City,2/23/2019,Chelsea,Manchester City,0,6
25,Premier League,Everton vs Liverpool,2/23/2019,Everton,Liverpool,0,1
25,Premier League,Fulham vs Crystal Palace,2/23/2019,Fulham,Crystal Palace,1,2
25,Premier League,Leicester City vs Brighton & Hove Albion,2/23/2019,Leicester City,Brighton & Hove Albion,2,1
25,Premier League,Manchester United vs Fulham,2/23/2019,Manchester United,Fulham,3,0
25,Premier League,Southampton vs Tottenham Hotspur,2/23/2019,Southampton,Tottenham Hotspur,2,3
25,Premier League,West Ham United vs Cardiff City,2/23/2019,West Ham United,Cardiff City,3,1
25,Premier League,Wolverhampton Wanderers vs Watford,2/23/2019,Wolverhampton Wanderers,Watford,2,0
26,Premier League,AFC Bournemouth vs Chelsea,3/2/2019,AFC Bournemouth,Chelsea,0,4
26,Premier League,Cardiff City vs Watford,3/2/2019,Cardiff City,Watford,2,1
26,Premier League,Everton vs Manchester United,3/2/2019,Everton,Manchester United,0,2
26,Premier League,Fulham vs Leicester City,3/2/2019,Fulham,Leicester City,1,3
26,Premier League,Liverpool vs Burnley,3/2/2019,Liverpool,Burnley,4,2
26,Premier League,Newcastle United vs Huddersfield Town,3/2/2019,Newcastle United,Huddersfield Town,2,0
26,Premier League,Southampton vs Arsenal,3/2/2019,Southampton,Arsenal,3,2
26,Premier League,Tottenham Hotspur vs Wolverhampton Wanderers,3/2/2019,Tottenham Hotspur,Wolverhampton Wanderers,3,2
26,Premier League,West Ham United vs Manchester City,3/2/2019,West Ham United,Manchester City,0,1
26,Premier League,Crystal Palace vs Brighton & Hove Albion,3/2/2019,Crystal Palace,Brighton & Hove Albion,1,2
27,Premier League,AFC Bournemouth vs Huddersfield Town,3/9/2019,AFC Bournemouth,Huddersfield Town,2,0
27,Premier League,Arsenal vs Southampton,3/9/2019,Arsenal,Southampton,2,0
27,Premier League,Burnley vs Liverpool,3/9/2019,Burnley,Liverpool,1,4
27,Premier League,Chelsea vs Wolverhampton Wanderers,3/9/2019,Chelsea,Wolverhampton Wanderers,1,1
27,Premier League,Crystal Palace vs Manchester United,3/9/2019,Crystal Palace,Manchester United,1,3
27,Premier League,Fulham vs Manchester City,3/9/2019,Fulham,Manchester City,0,2
27,Premier League,Leicester City vs Crystal Palace,3/9/2019,Leicester City,Crystal Palace,3,1
27,Premier League,Newcastle United vs Burnley,3/9/2019,Newcastle United,Burnley,2,0
27,Premier League,Southampton vs Tottenham Hotspur,3/9/2019,Southampton,Tottenham Hotspur,1,3
27,Premier League,West Ham United vs Watford,3/9/2019,West Ham United,Watford,1,2
28,Premier League,AFC Bournemouth vs Newcastle United,3/16/2019,AFC Bournemouth,Newcastle United,2,2
28,Premier League,Burnley vs Leicester City,3/16/2019,Burnley,Leicester City,1,2
28,Premier League,Chelsea vs Wolverhampton Wanderers,3/16/2019,Chelsea,Wolverhampton Wanderers,1,1
28,Premier League,Crystal Palace vs Huddersfield Town,3/16/2019,Crystal Palace,Huddersfield Town,2,0
28,Premier League,Everton vs Chelsea,3/16/2019,Everton,Chelsea,2,0
28,Premier League,Fulham vs Manchester United,3/16/2019,Fulham,Manchester United,0,3
28,Premier League,Liverpool vs Fulham,3/16/2019,Liverpool,Fulham,2,0
28,Premier League,Manchester City vs West Ham United,3/16/2019,Manchester City,West Ham United,1,0
28,Premier League,Southampton vs Tottenham Hotspur,3/16/2019,Southampton,Tottenham Hotspur,1,3
28,Premier League,West Ham United vs Huddersfield Town,3/16/2019,West Ham United,Huddersfield Town,2,0
29,Premier League,AFC Bournemouth vs Newcastle United,3/9/2019,AFC Bournemouth,Newcastle United,2,2
29,Premier League,Arsenal vs Manchester United,3/10/2019,Arsenal,Manchester United,2,0
29,Premier League,Burnley vs Leicester City,3/9/2019,Burnley,Leicester City,1,2
29,Premier League,Cardiff City vs West Ham United,3/9/2019,Cardiff City,West Ham United,2,0
29,Premier League,Chelsea vs Wolverhampton Wanderers,3/10/2019,Chelsea,Wolverhampton Wanderers,1,1
29,Premier League,Crystal Palace vs Brighton & Hove Albion,3/9/2019,Crystal Palace,Brighton & Hove Albion,2,1
29,Premier League,Everton vs Liverpool,3/3/2019,Everton,Liverpool,0,0
29,Premier League,Fulham vs Chelsea,3/3/2019,Fulham,Chelsea,1,2
29,Premier League,Leicester City vs Fulham,3/9/2019,Leicester City,Fulham,3,1
29,Premier League,Manchester City vs Watford,3/9/2019,Manchester City,Watford,3,1
30,Premier League,AFC Bournemouth vs Burnley,4/6/2019,AFC Bournemouth,Burnley,3,1
30,Premier League,Cardiff City vs Brighton & Hove Albion,4/6/2019,Cardiff City,Brighton & Hove Albion,0,2
30,Premier League,Chelsea vs West Ham United,4/6/2019,Chelsea,West Ham United,2,0
30,Premier League,Crystal Palace vs Manchester City,4/6/2019,Crystal Palace,Manchester City,1,3
30,Premier League,Everton vs Arsenal,4/6/2019,Everton,Arsenal,1,0
30,Premier League,Fulham vs Liverpool,4/6/2019,Fulham,Liverpool,1,2
30,Premier League,Leicester City vs Huddersfield Town,4/6/2019,Leicester City,Huddersfield Town,4,1
30,Premier League,Manchester United vs Watford,4/6/2019,Manchester United,Watford,2,1
30,Premier League,Southampton vs Wolverhampton Wanderers,4/6/2019,Southampton,Wolverhampton Wanderers,3,1
30,Premier League,Tottenham Hotspur vs Cardiff City,4/6/2019,Tottenham Hotspur,Cardiff City,3,0
31,Premier League,AFC Bournemouth vs Brighton & Hove Albion,4/13/2019,AFC Bournemouth,Brighton & Hove Albion,5,0
